"wavfile","trialnr","itemID","word","ppnr","gesturecondition","excelsheet","cross","opmerking"
"3_C4.I.16_cabina_ppn_017_gesture.wav","3","C4.I.16","cabina","017","gesture.wav","017.xlsx",NA,"begint met einde herhaling vorige woord, cabina wordt 2 keer gezegd - check textgrid"
"4_P.C4.1_mandarina_ppn_017_gesture.wav","4","P.C4.1","mandarina","017","gesture.wav","017.xlsx",NA,"begint met 'uh' , niet gehele woord in file - check textgrid"
"18_C1.I.14_cat¢lico_ppn_017_gesture.wav","18","C1.I.14","cat¢lico","017","gesture.wav","017.xlsx",NA,"zegt catologa ipv catolico"
"27_P.C2.3_voleibol_ppn_017_nogesture.wav","27","P.C2.3","voleibol","017","nogesture.wav","017.xlsx",NA,"begint met herhaling vorige woord - deze nemen voor vorige file? Check textgrid en splitten"
"32_C2.I.4_ventilador_ppn_017_gesture.wav","32","C2.I.4","ventilador","017","gesture.wav","017.xlsx",NA,"check textgrid - alleen eerste uitspraak nemen"
"33_C4.I.4_mango_ppn_017_gesture.wav","33","C4.I.4","mango","017","gesture.wav","017.xlsx",NA,"file begint met eind herhaling vorige woord - check textgrid"
"47_C3.I.1_br¢coli_ppn_017_nogesture.wav","47","C3.I.1","br¢coli","017","nogesture.wav","017.xlsx",NA,"herhaling/verbetering, tweede uitspraak nemen? Check textgrid"
"52_C3.I.16_geogr†fico_ppn_017_nogesture.wav","52","C3.I.16","geogr†fico","017","nogesture.wav","017.xlsx",NA,"geografia ipv geografico - check textgrid"
"53_C4.I.11_ensalada_ppn_017_nogesture.wav","53","C4.I.11","ensalada","017","nogesture.wav","017.xlsx",NA,"begint met verbeterde uitspraak van vorige woord, gevolgddoor ensalada - checkt textgrid, file splitten?"
"59_C2.I.20_aristocracia_ppn_017_gesture.wav","59","C2.I.20","aristocracia","017","gesture.wav","017.xlsx",NA,"verspreking, niet gehele woord in file - check textgrid"
"72_C1.I.11_gr†fico_ppn_017_nogesture.wav","72","C1.I.11","gr†fico","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"73_C3.I.3_c†mara_ppn_017_gesture.wav","73","C3.I.3","c†mara","017","gesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"84_P.C4.3_bailarina_ppn_017_gesture.wav","84","P.C4.3","bailarina","017","gesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"85_C1.I.18_met†fora_ppn_017_nogesture.wav","85","C1.I.18","met†fora","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"95_C2.I.10_ilustrador_ppn_017_nogesture.wav","95","C2.I.10","ilustrador","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"98_C3.I.19_esp†rrago_ppn_017_nogesture.wav","98","C3.I.19","esp†rrago","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"114_C1.I.14_cat¢lico_ppn_017_nogesture.wav","114","C1.I.14","cat¢lico","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"143_C3.I.1_br¢coli_ppn_017_gesture.wav","143","C3.I.1","br¢coli","017","gesture.wav","017.xlsx",NA,"verspreking, check textgrid, eerste uitspraak nemen"
"148_C3.I.16_geogr†fico_ppn_017_gesture.wav","148","C3.I.16","geogr†fico","017","gesture.wav","017.xlsx",NA,"zegt geografia ipv geografico"
"155_C2.I.20_aristocracia_ppn_017_nogesture.wav","155","C2.I.20","aristocracia","017","nogesture.wav","017.xlsx",NA,"verspreking, niet hele woord zit in file, check textgrid"
"179_C2.I.15_uniforme_ppn_017_nogesture.wav","179","C2.I.15","uniforme","017","nogesture.wav","017.xlsx",NA,"wordt gehoest tijdens eerste lettergreep, check textgrid"
"180_P.C4.3_bailarina_ppn_017_nogesture.wav","180","P.C4.3","bailarina","017","nogesture.wav","017.xlsx",NA,"verspreking, check textgrid"
"2_C2.I.14_festival_ppn_018_gesture.wav","2","C2.I.14","festival","018","gesture.wav","018.xlsx",NA,"hapering, gaat de annotatie goed?"
"26_C3.I.16_geogr†fico_ppn_018_nogesture.wav","26","C3.I.16","geogr†fico","018","nogesture.wav","018.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend maar wordt halverwege afgekapt"
"27_C4.I.9_papel_ppn_018_nogesture.wav","27","C4.I.9","papel","018","nogesture.wav","018.xlsx",NA,"gaat deze annotatie dan wel goed?"
"54_C1.I.16_gram¢fono_ppn_018_gesture.wav","54","C1.I.16","gram¢fono","018","gesture.wav","018.xlsx",NA,"final lengthening door twijfel"
"61_C1.I.4_cardi¢logo_ppn_018_gesture.wav","61","C1.I.4","cardi¢logo","018","gesture.wav","018.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend maar wordt afgekapt"
"62_P.C3.3_ecolog°a_ppn_018_gesture.wav","62","P.C3.3","ecolog°a","018","gesture.wav","018.xlsx",NA,"gaat deze annotatie goed?"
"95_C1.I.15_dem¢crata_ppn_018_gesture.wav","95","C1.I.15","dem¢crata","018","gesture.wav","018.xlsx",NA,"item wordt twee keer uitgesproken, alleen de tweede keer is  vloeiend maar wordt afgekapt"
"96_C2.I.20_aristocracia_ppn_018_gesture.wav","96","C2.I.20","aristocracia","018","gesture.wav","018.xlsx",NA,"gaat deze annotatie goed?"
"122_C3.I.16_geogr†fico_ppn_018_gesture.wav","122","C3.I.16","geogr†fico","018","gesture.wav","018.xlsx",NA,"hapering"
"170_C1.I.10_satÇlite_ppn_018_nogesture.wav","170","C1.I.10","satÇlite","018","nogesture.wav","018.xlsx",NA,"hapering"
"192_C2.I.20_aristocracia_ppn_018_nogesture.wav","192","C2.I.20","aristocracia","018","nogesture.wav","018.xlsx",NA,"wordt afgekapt"
"29_P.C3.3_ecolog°a_ppn_019_nogesture.wav","29","P.C3.3","ecolog°a","019","nogesture.wav","019.xlsx",NA,"verspreking, deel van herhaling woord, check textgrid"
"30_C4.I.12_chocolate_ppn_019_nogesture.wav","30","C4.I.12","chocolate","019","nogesture.wav","019.xlsx",NA,"begint met 'sorry' ; check textgrid"
"46_C1.I.16_gram¢fono_ppn_019_nogesture.wav","46","C1.I.16","gram¢fono","019","nogesture.wav","019.xlsx",NA,"verspreking, check textgrid"
"59_C2.I.20_aristocracia_ppn_019_gesture.wav","59","C2.I.20","aristocracia","019","gesture.wav","019.xlsx",NA,"verspreking, check textgrid"
